error,ProductCD,amount_band,n
Correcto,W,"(44.0, 68.5]",17412
Correcto,W,"(68.5, 117.0]",15843
Correcto,W,"(117.0, 5366.82]",14162
Correcto,W,"(0.498, 44.0]",13470
Correcto,C,"(0.498, 44.0]",4448
FP,W,"(117.0, 5366.82]",4180
FP,C,"(0.498, 44.0]",2056
FP,W,"(68.5, 117.0]",1826
Correcto,R,"(117.0, 5366.82]",1424
Correcto,R,"(68.5, 117.0]",1310
FP,W,"(44.0, 68.5]",1298
FP,S,"(68.5, 117.0]",1070
Correcto,C,"(44.0, 68.5]",935
Correcto,S,"(0.498, 44.0]",775
FP,R,"(117.0, 5366.82]",657
Correcto,C,"(68.5, 117.0]",623
Correcto,H,"(0.498, 44.0]",579
FP,W,"(0.498, 44.0]",574
Correcto,H,"(44.0, 68.5]",565
FP,C,"(44.0, 68.5]",439
Correcto,H,"(68.5, 117.0]",415
Correcto,R,"(44.0, 68.5]",412
FP,S,"(117.0, 5366.82]",337
FP,C,"(68.5, 117.0]",324
Correcto,C,"(117.0, 5366.82]",309
FP,H,"(117.0, 5366.82]",274
FP,H,"(68.5, 117.0]",269
FP,R,"(68.5, 117.0]",245
Correcto,S,"(44.0, 68.5]",234
FP,S,"(0.498, 44.0]",223
FN,W,"(68.5, 117.0]",222
FN,W,"(117.0, 5366.82]",199
FP,C,"(117.0, 5366.82]",183
FN,W,"(44.0, 68.5]",177
Correcto,H,"(117.0, 5366.82]",163
FP,H,"(44.0, 68.5]",140
Correcto,S,"(68.5, 117.0]",137
FP,H,"(0.498, 44.0]",136
FP,S,"(44.0, 68.5]",110
FN,W,"(0.498, 44.0]",105
Correcto,R,"(0.498, 44.0]",68
Correcto,S,"(117.0, 5366.82]",50
FN,C,"(0.498, 44.0]",47
FP,R,"(44.0, 68.5]",45
FN,S,"(0.498, 44.0]",26
FN,R,"(117.0, 5366.82]",15
FN,C,"(44.0, 68.5]",15
FN,S,"(44.0, 68.5]",11
FN,H,"(44.0, 68.5]",8
FN,H,"(0.498, 44.0]",6
FN,R,"(0.498, 44.0]",5
FN,H,"(68.5, 117.0]",5
FN,C,"(117.0, 5366.82]",5
FN,C,"(68.5, 117.0]",4
FN,R,"(68.5, 117.0]",3
FN,R,"(44.0, 68.5]",3
FP,R,"(0.498, 44.0]",3
FN,H,"(117.0, 5366.82]",2
