variable,ganancia
day_index,1690520.8489929014
weekday_cos,2389.418476116378
freq_prior_addr2,1558.1710659569108
month_proxy,1464.7836233180492
hour_cos,653.3408229605911
D1_minus_day,322.3269901171942
freq_prior_productcd,126.01772299056353
weekday_sin,79.24932261532338
share_prior_addr1,70.11898200549565
D10_minus_day,19.133701194041482
D6_minus_day,17.020052999481894
D13_minus_day,9.66705904349059
D4_minus_day,3.523670716146322
D15_minus_day,2.728616574142055
freq_prior_card3,1.902746925830336
share_prior_r_emaildomain,1.6555727429204632
D_missing,1.574575595332135
share_prior_card3,1.5202893586930741
share_prior_addr2,1.1679938606178255
card1,0.8314461104538697
C_std,0.6509896963840398
share_prior_id_31,0.574677891621864
amount_first_digit,0.48970700055360794
share_prior_devicetype,0.33389765670798244
D3_minus_day,0.2669687349773618
hour_sin,0.2008214437056814
freq_prior_devicetype,0.10922771464879705
freq_prior_p_emaildomain,0.095350835395853
D8_minus_day,0.0946262384857459
V154,0.05521481232154815
