dimension,segmento,n,prevalencia,auc_pr,roc_auc,brier,threshold,precision,recall,f1,tn,fp,fn,tp,costo_q,alertas_por_100k
ProductCD,C,9388,0.13527907967618236,0.7474338862126019,0.9100698748576606,0.06285350464771212,0.026621172307066635,0.4118975903614458,0.8614173228346457,0.5573102394294447,6556,1562,176,1094,1020360.0,28291.435875585852
ProductCD,H,2562,0.06401249024199844,0.581476077856788,0.8911262434142273,0.04299999411868801,0.026621172307066635,0.2012012012012012,0.8170731707317073,0.3228915662650602,1866,532,30,134,221760.0,25995.316159250586
ProductCD,R,4190,0.050596658711217185,0.8064466071641769,0.9308472542379314,0.019242276561485253,0.026621172307066635,0.16507384882710685,0.8962264150943396,0.27879677182685253,3017,961,22,190,265380.0,27470.167064439138
ProductCD,S,2973,0.04843592330978809,0.5815386529158784,0.7940600329916343,0.028662905075983645,0.026621172307066635,0.20495495495495494,0.6319444444444444,0.30952380952380953,2476,353,53,91,286140.0,14934.409687184663
ProductCD,W,69468,0.01861288650889618,0.2991095781538339,0.8108713330729824,0.0153442152159183,0.026621172307066635,0.11676794219083593,0.5498839907192575,0.1926307233811975,62797,5378,582,711,3412440.0,8765.186848620948
DeviceType,MISSING,70399,0.019261637239165328,0.31066340021545985,0.8159034489942292,0.0157353582220647,0.026621172307066635,0.11920113225349897,0.5589970501474927,0.19650032404407,63442,5601,598,758,3519780.0,9032.798761346043
DeviceType,desktop,10461,0.07609215180193098,0.750228712876333,0.901025172421861,0.032761003697396984,0.026621172307066635,0.2870528109028961,0.8467336683417085,0.4287531806615776,7991,1674,122,674,813720.0,22445.27291845904
DeviceType,mobile,7721,0.12058023572076156,0.7166537113634687,0.8924758245287108,0.06236760026086418,0.026621172307066635,0.34275772074815136,0.8464017185821697,0.48792569659442725,5279,1511,143,788,872580.0,29775.93575961663
history,0,2979,0.03491104397448808,0.6939887089431577,0.9114916387959865,0.01996790237858529,0.026621172307066635,0.1636029411764706,0.8557692307692307,0.27469135802469136,2420,455,15,89,144900.0,18261.16146357838
history,1-2,3520,0.028977272727272727,0.5584929238108901,0.8784835759932997,0.01760836763551696,0.026621172307066635,0.13857677902621723,0.7254901960784313,0.23270440251572327,2958,460,28,74,200400.0,15170.454545454546
history,16+,70102,0.03600467889646515,0.5674778621887037,0.8696516636595176,0.02207907054613405,0.026621172307066635,0.21352521352521353,0.7230586370839936,0.3296901815554151,60856,6722,699,1825,4145760.0,12192.23417306211
history,3-7,5729,0.027229883051143305,0.39239424799494277,0.844111029827879,0.021529065261922962,0.026621172307066635,0.1296551724137931,0.6025641025641025,0.2133938706015891,4942,631,62,94,373980.0,12654.913597486473
history,8-15,6251,0.03151495760678291,0.4843222159438793,0.8634447334396523,0.022302628570510987,0.026621172307066635,0.21036585365853658,0.700507614213198,0.3235638921453693,5536,518,59,138,341040.0,10494.320908654616
segmento_monto,"(0.498, 44.0]",22521,0.047555614759557746,0.6745554966920018,0.903763251998546,0.025173566983400092,0.026621172307066635,0.42735949098621423,0.7525676937441643,0.5451471085559689,20370,1080,265,806,1307400.0,8374.406109853026
segmento_monto,"(117.0, 5366.82]",21960,0.040300546448087435,0.5297363214885811,0.8739239868374316,0.027001062351402663,0.026621172307066635,0.11672278338945005,0.8225988700564971,0.20443695591126088,15566,5509,157,728,1651020.0,28401.639344262298
segmento_monto,"(44.0, 68.5]",21804,0.0232526141992295,0.5208226056779425,0.8589861671769199,0.01507051047650831,0.026621172307066635,0.310308182784272,0.5759368836291914,0.40331491712707185,20648,649,215,292,1019820.0,4315.721885892497
segmento_monto,"(68.5, 117.0]",22296,0.02780767850735558,0.4503143805404579,0.8526823928947729,0.019892893033189453,0.026621172307066635,0.20288362512873326,0.635483870967742,0.3075722092115535,20128,1548,226,394,1227840.0,8710.082526013635
