number,value,datetime_start,datetime_complete,duration,params_cat_l2,params_cat_smooth,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_gain_to_split,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.6391381254965145,2026-08-21 19:46:53.530380,2026-08-21 19:48:49.026983,0 days 00:01:55.496603,8.259438150869183,48.07762076616686,0.9956426729831844,0.02033061377801137,14,47,0.11165002297317167,71,0.005406521631061983,5.1109267318467735,0.8437869579040544,381,COMPLETE
1,0.6365755649638563,2026-08-21 19:48:49.106221,2026-08-21 19:50:11.428790,0 days 00:01:22.322569,3.913730526159722,6.682618714821954,0.8466628612208419,0.026018981465868354,14,42,0.18467361640872376,59,0.022149784615023684,1.6971337872733936,0.8335202928290756,199,COMPLETE
2,0.6481324125758663,2026-08-21 19:50:11.513918,2026-08-21 19:52:42.717752,0 days 00:02:31.203834,13.486878962404152,42.560620470056826,0.6664137538241229,0.020687728408755306,8,176,0.1758766318377593,93,0.05497746108705452,1.5975434344490738,0.7447501399220057,810,COMPLETE
3,0.6418482524908171,2026-08-21 19:52:42.820146,2026-08-21 19:53:59.077303,0 days 00:01:16.257157,6.978300197419781,6.2651412617906495,0.7225130000751644,0.0286587089272173,10,118,0.06235074488850348,55,0.04653768392554693,5.89774496482076,0.8470425657044317,219,COMPLETE
4,0.6418197884859735,2026-08-21 19:53:59.188098,2026-08-21 19:56:20.002822,0 days 00:02:20.814724,2.210221693609145,30.171770021116263,0.6795220751147695,0.020096292705732276,12,143,0.0004794345674492329,50,0.004252802770772141,7.079424308693937,0.956365704824037,464,COMPLETE
5,0.6541487523729881,2026-08-21 19:56:20.080871,2026-08-21 19:58:07.008975,0 days 00:01:46.928104,16.293543397280303,59.8569155087321,0.885769668426843,0.03702767498368986,10,89,0.01936460851830677,127,0.1623295921725831,0.9860699616812247,0.8985617661211255,321,COMPLETE
6,0.6471513883747271,2026-08-21 19:58:07.129628,2026-08-21 20:00:01.393540,0 days 00:01:54.263912,3.5702598170065913,43.82788498653547,0.7790991743330705,0.020783536443941087,7,84,0.05349286107161355,119,0.07376013087611437,0.5381202435127939,0.860211850191663,734,COMPLETE
7,0.6480819552626951,2026-08-21 20:00:01.463948,2026-08-21 20:02:48.305525,0 days 00:02:46.841577,20.717852154500548,17.78471613367514,0.909063529817921,0.018887603729376114,12,75,0.03360131813686003,110,2.435053098767554,0.21082523492321834,0.9567057147526812,309,COMPLETE
8,0.6376794667470452,2026-08-21 20:02:48.442906,2026-08-21 20:04:12.078981,0 days 00:01:23.636075,22.37435931173652,38.69111272344805,0.6704521047093571,0.04891461809256551,11,175,0.18504044774327955,40,0.16661259318854849,7.027831627632511,0.9148044493500347,214,COMPLETE
9,0.6432986248005342,2026-08-21 20:04:12.178439,2026-08-21 20:05:32.913305,0 days 00:01:20.734866,12.254410693074277,37.82491969352855,0.7633360316191704,0.019864043858803044,8,171,0.13259072988605977,121,0.23707441861529302,1.275287948168291,0.8299412297677925,329,COMPLETE
10,0.6306694289087424,2026-08-21 20:05:32.992514,2026-08-21 20:06:43.047210,0 days 00:01:10.054696,17.222262607944522,57.21480321185673,0.9844076987004606,0.057272367907256594,6,108,0.09524088264041664,88,1.80680676734378,0.056210833689107904,0.7041271520491488,415,COMPLETE
11,0.6495787791179899,2026-08-21 20:06:43.166522,2026-08-21 20:08:47.394267,0 days 00:02:04.227745,14.588964393437289,58.34674675305424,0.8588164153316333,0.03709569962207889,9,140,0.1501509434209734,96,0.4846821560459838,1.4147150608756445,0.7197613664397584,506,COMPLETE
12,0.6430847807802005,2026-08-21 20:08:47.464570,2026-08-21 20:10:16.291886,0 days 00:01:28.827316,16.546714451556138,59.79032520226805,0.8742698263921902,0.0389873792064937,9,134,0.1504010109471621,100,0.6160725712938488,0.4678333175773193,0.7610614668935266,298,COMPLETE
13,0.6595572610000009,2026-08-21 20:10:16.449149,2026-08-21 20:12:08.815934,0 days 00:01:52.366785,17.929917749221353,52.07976396797474,0.9337942075566935,0.03592829643086567,10,84,0.003968479863721359,78,0.6383323364048746,0.7385718309371438,0.9966291049976461,394,COMPLETE
14,0.6510121858168806,2026-08-21 20:12:08.900540,2026-08-21 20:13:34.021002,0 days 00:01:25.120462,19.655746214212183,51.93376452176865,0.9413428667489357,0.03631286891287298,11,80,0.0015198336568125886,79,1.116231109486956,0.5409711056515915,0.9998108529457802,196,COMPLETE
15,0.6379573950365336,2026-08-21 20:13:34.162793,2026-08-21 20:16:17.855512,0 days 00:02:43.692719,24.34816133560011,50.92702854631463,0.9310983954865456,0.02927785111920808,10,65,0.02939512059105011,31,4.244644494151553,0.19833292453037712,0.8951004858385304,441,COMPLETE
16,0.6472625201044513,2026-08-21 20:16:18.018424,2026-08-21 20:18:19.450038,0 days 00:02:01.431614,10.46409839732354,30.03067422916233,0.8023086019782821,0.04441453137875791,12,102,0.026152807336733336,72,0.0014376081674939113,3.0199013903093705,0.9995157871354367,205,COMPLETE
17,0.6498523307734112,2026-08-21 20:18:19.574660,2026-08-21 20:20:21.961776,0 days 00:02:02.387116,17.43748862162437,53.03997853473417,0.8970808259781384,0.033555480902808466,10,96,0.07106414278436946,127,0.19850915144266543,0.786949618184448,0.7917794810323351,253,COMPLETE
