dimension,segmento,n,auc_pr,roc_auc,precision,recall,f1,tn,fp,fn,tp,cost_q,cost_per_decision_q,alertas_por_100k,threshold
ProductCD,C,9388,0.7527214292466913,0.9329488470260507,0.281508739650414,0.9637795275590552,0.43574225703097186,4994,3124,46,1224,755520.0,80.47720494247976,46314.44397102684,0.03622414841207744
ProductCD,H,2562,0.5661399629106452,0.8866331699180211,0.16819221967963388,0.8963414634146342,0.2832369942196532,1671,727,17,147,202260.0,78.94613583138174,34113.973458235756,0.03622414841207744
ProductCD,R,4190,0.806728643216975,0.9512946204122674,0.16938950988822013,0.9292452830188679,0.28654545454545455,3012,966,15,197,236880.0,56.5346062052506,27756.56324582339,0.03622414841207744
ProductCD,S,2973,0.64753117046921,0.8577137582970032,0.24481327800829875,0.8194444444444444,0.3769968051118211,2465,364,26,118,174720.0,58.76892028254289,16212.579885637404,0.03622414841207744
ProductCD,W,69468,0.2903513400638502,0.84496664360945,0.0901022357038535,0.6202629543696829,0.1573474592897783,60076,8099,491,802,3520020.0,50.67110036275695,12813.093798583519,0.03622414841207744
historia,1,2979,0.695544216128677,0.9472073578595318,0.11680572109654351,0.9423076923076923,0.20784729586426298,2134,741,6,98,158580.0,53.23262839879154,28163.813360187985,0.03622414841207744
historia,17-32,70102,0.572278713108054,0.9033255707474074,0.16693984592689723,0.8070522979397782,0.27665353796007064,57413,10165,487,2037,3875100.0,55.27802345154204,17406.065447490797,0.03622414841207744
historia,2-3,3520,0.5354101202735456,0.8885026216454984,0.11263736263736264,0.803921568627451,0.19759036144578312,2772,646,20,82,200280.0,56.89772727272727,20681.81818181818,0.03622414841207744
historia,4-8,5729,0.3968095078852112,0.861660156339862,0.11024390243902439,0.7243589743589743,0.1913632514817951,4661,912,43,113,344760.0,60.17804154302671,17891.429568860185,0.03622414841207744
historia,9-16,6251,0.48440710884825583,0.9102980116347125,0.162217659137577,0.8020304568527918,0.2698548249359522,5238,816,39,158,310680.0,49.7008478643417,15581.506958886579,0.03622414841207744
monto,"(0.498, 44.0]",22521,0.6736369337906037,0.9333571874748346,0.22154991854782408,0.8888888888888888,0.35469448584202684,18105,3345,119,952,1101900.0,48.9276675103237,19079.96980595888,0.03622414841207744
monto,"(117.0, 5366.82]",21960,0.5137985441157289,0.884848757799358,0.12953274400144327,0.8112994350282486,0.22339763534536403,16250,4825,167,718,1569900.0,71.48907103825137,25241.34790528233,0.03622414841207744
monto,"(44.0, 68.5]",21804,0.5099080975198597,0.8808311566879946,0.14732142857142858,0.7159763313609467,0.24436216762032986,19196,2101,144,363,982980.0,45.08255365987892,11300.678774536782,0.03622414841207744
monto,"(68.5, 117.0]",22296,0.4588617601359586,0.8726410657840692,0.13135103926096997,0.7338709677419355,0.222820763956905,18667,3009,165,455,1234620.0,55.3740581270183,15536.419088625764,0.03622414841207744
