variable,cardinalidad,ausencia_original,asociacion_lift_ponderado
R_emaildomain,61,0.7319772042229454,0.6274472555903382
id_31,101,0.7210996406986517,0.5960261143551023
ProductCD,5,0.0,0.5705628681893055
id_36,3,0.7202960618478619,0.5546073324127362
DeviceType,3,0.7207240214657155,0.5471657049621554
id_37,3,0.7202960618478619,0.5463097857264483
id_28,3,0.7202960618478619,0.5463097857264483
id_15,4,0.7202960618478619,0.5463097857264483
id_35,3,0.7202960618478619,0.5463097857264483
id_29,3,0.7202960618478619,0.5463097857264483
id_38,3,0.7202960618478619,0.5463097857264483
id_12,3,0.714055240658011,0.5407366062137585
M6,3,0.33065576344609093,0.5234898548003916
M4,4,0.4967225682503225,0.5017297578263143
id_16,3,0.739951415807412,0.49781029457273696
DeviceInfo,1409,0.7585445678377571,0.48493744310034587
card6,5,0.0025308115530623745,0.46665596484254
M2,3,0.6020252650116842,0.35440748179580006
M3,3,0.6020252650116842,0.3436269538417347
M1,3,0.6020252650116842,0.3436269538417347
P_emaildomain,60,0.15728901436897508,0.3409027282821864
M8,3,0.7401207523468505,0.23996574919230945
M9,3,0.7401207523468505,0.2399657491923094
M7,3,0.740123831193022,0.2399595914999661
M5,3,0.6156737900904257,0.10624817540896779
id_34,5,0.8275538259281952,0.05759328886338143
card4,5,0.0025400480915772007,0.05375083006858441
