variable,tipo,ausencia,unicos,varianza,pearson,spearman,decision,informacion_mutua,puntaje_relevancia
TransactionAmt,float64,0.0,13670,56602.418195934944,0.0014139475523068468,-0.0010586280551795671,candidata,0.0,0.0014139475523068468
dist1,float64,0.619959543961305,2532,158694.960622638,0.028015054706854736,0.017310001378373383,candidata,0.0,0.028015054706854736
dist2,float64,0.9206673706961579,1527,279375.3241394022,-0.0076413884558915336,-0.0034321827607156864,candidata,0.0,0.0076413884558915336
C1,float64,0.0,1529,30195.397043036854,0.026732523577415287,0.08736649445028133,candidata,0.0,0.08736649445028133
C2,float64,0.0,983,40766.654924114766,0.030591345945223714,0.09973192851366476,candidata,0.0,0.09973192851366476
C3,float64,0.0,18,0.021291709075367458,-0.007362921052675994,-0.012591108502266782,candidata,0.0,0.012591108502266782
C4,float64,0.0,1188,7727.253611648895,0.026506627954186877,0.14632864266508339,excluida_redundante_con_V93,0.01734355175240232,0.15066453060318397
C5,float64,0.0,297,587.7852965569076,-0.029762749123767644,-0.10302409178545023,candidata,0.0,0.10302409178545023
C6,float64,0.0,1273,8084.726887956453,0.019698239867040567,0.06507021702956008,candidata,0.0,0.06507021702956008
C7,float64,0.0,1086,6908.841189230635,0.027917269040981088,0.15674452358351634,excluida_redundante_con_V79,0.015616256067140899,0.16064858760030157
C8,float64,0.0,1196,16251.293932546912,0.029046471981334778,0.138397720232021,candidata,0.015903578837599852,0.14237361494142095
C9,float64,0.0,203,255.63447910800443,-0.02994358708524679,-0.0777912800970799,candidata,0.0,0.0777912800970799
C10,float64,0.0,1108,16355.570374821253,0.027457235596093577,0.13541210683586238,candidata,0.01606460728571446,0.139428258657291
C11,float64,0.0,1386,14850.765743753713,0.02490498219913942,0.08906468530654127,candidata,0.0,0.08906468530654127
C12,float64,0.0,1167,13609.631333899006,0.030215653815209843,0.16056932468177534,candidata,0.015152374383382128,0.16435741827762088
C13,float64,0.0,1571,21419.49186505969,-0.0017803622947387325,-0.06475000074536795,candidata,0.0,0.06475000074536795
C14,float64,0.0,1076,3652.9335147700976,0.010981332063093723,-0.05579512666332867,candidata,0.0,0.05579512666332867
D1,float64,1.2315384686434911e-05,637,21804.986673655392,-0.05830543836794499,-0.04872108842930307,candidata,0.0,0.05830543836794499
D2,float64,0.508773172165999,637,28401.182836737193,-0.08073133663157821,-0.10410281471827688,candidata,0.0,0.10410281471827688
D3,float64,0.4841947431780466,574,3799.1802371786807,-0.04471639896151724,-0.11668908373780405,candidata,0.003463001172133273,0.11755483403083737
D4,float64,0.3208465595433455,709,31803.94134502992,-0.06359538268378502,-0.05044121691851723,candidata,0.0,0.06359538268378502
D5,float64,0.5583856993753021,607,7523.088983114876,-0.06915244095732795,-0.17002942329978116,excluida_redundante_con_D7,0.00722680727427516,0.17183612511834995
D6,float64,0.8719754184921659,722,17842.410171151623,-0.033199227542739455,0.05003125137600146,candidata,0.0,0.05003125137600146
D7,float64,0.9355381977050281,516,10692.40481682141,-0.1359505504583142,-0.1982572817571327,candidata,0.0009282802232051246,0.19848935181293398
D8,float64,0.8541889241587822,10153,58236.87583626903,-0.12843392658180053,-0.1840932065714418,candidata,0.01501558115852153,0.18784710186107217
D9,float64,0.8541889241587822,24,0.10100304859984313,-0.045828654778345794,-0.029399722470087996,candidata,0.0,0.045828654778345794
D10,float64,0.17184579906834116,729,29112.880758533916,-0.06846032806763408,-0.07744022909448559,candidata,0.0,0.07744022909448559
D11,float64,0.6110616785253559,583,28006.722091268894,-0.04110957898856501,-0.02806188996251216,candidata,0.0,0.04110957898856501
D12,float64,0.8860334301117313,554,13071.44186457216,-0.013511028190211842,0.07534540470456239,candidata,0.0,0.07534540470456239
D13,float64,0.8974713436392577,470,4320.475713427609,-0.04692761368050952,0.005789427836457657,candidata,0.0,0.04692761368050952
D14,float64,0.8928592320741878,720,15587.587256396482,0.014281076975974713,0.09791262271382317,candidata,0.0,0.09791262271382317
D15,float64,0.1856513453018347,768,35554.02271211243,-0.07477583087333832,-0.07267889306127842,candidata,0.0,0.07477583087333832
V1,float64,0.6110616785253559,2,3.9578880659650116e-05,0.0011084327468260297,0.001108432746826024,candidata,0.0,0.0011084327468260297
V2,float64,0.6110616785253559,7,0.043693185529776246,0.020131634012087247,0.019191934676222024,candidata,0.0,0.020131634012087247
V3,float64,0.6110616785253559,7,0.08211389134428106,0.05988864763792478,0.04917397812001337,candidata,0.0,0.05988864763792478
V4,float64,0.6110616785253559,6,0.19231664499427834,0.024885083362492014,0.022288803460118772,candidata,0.0,0.024885083362492014
V5,float64,0.6110616785253559,7,0.22516046936182904,0.06085899490162067,0.041752578649940815,candidata,0.0,0.06085899490162067
V6,float64,0.6110616785253559,7,0.0460356201654292,0.01169239898693218,0.00919104729339291,candidata,0.0,0.01169239898693218
V7,float64,0.6110616785253559,8,0.07640875215347497,0.02255847025856161,0.018224400268757077,candidata,0.0,0.02255847025856161
V8,float64,0.6110616785253559,7,0.025653316207853515,0.007238071296907267,0.004851816289584194,candidata,0.0,0.007238071296907267
V9,float64,0.6110616785253559,7,0.04142876911103619,0.039404667784404365,0.03892573726050966,candidata,0.0,0.039404667784404365
V10,float64,0.6110616785253559,5,0.26676809900672616,-0.08022018942550403,-0.08251131201292433,candidata,0.0,0.08251131201292433
V11,float64,0.6110616785253559,5,0.29685249845299083,-0.07874992706492083,-0.08239297687076201,candidata,0.0,0.08239297687076201
V12,float64,0.17191661253028814,4,0.2612272178419243,-0.03840487816773842,-0.044543597152031864,candidata,0.0,0.044543597152031864
V13,float64,0.17191661253028814,6,0.28531440302600797,-0.030369428379378356,-0.04272516183026906,candidata,0.0,0.04272516183026906
V14,float64,0.17191661253028814,2,0.0003568056520138359,0.0033965610234515725,0.003396561023451612,candidata,0.0,0.003396561023451612
V15,float64,0.17191661253028814,8,0.11952621351204297,0.1661076768279485,0.16406735224363467,excluida_redundante_con_V79,0.008168572598120205,0.16814981997747855
V16,float64,0.17191661253028814,15,0.13180129412987948,0.1615924896477719,0.16406183400459953,excluida_redundante_con_V79,0.00793291700807397,0.16604506325661803
V17,float64,0.17191661253028814,16,0.13890861905635676,0.1729791926854184,0.15473833146557525,candidata,0.007249649824786486,0.17479160514161501
V18,float64,0.17191661253028814,16,0.14699344397535863,0.17248990039006334,0.15479759680172572,excluida_redundante_con_V17,0.006799871749307185,0.17418986832739014
V19,float64,0.17191661253028814,8,0.18507021785302985,0.03077405365220706,0.025961977545667283,candidata,0.0,0.03077405365220706
V20,float64,0.17191661253028814,15,0.22283460389546828,0.04253956332019006,0.03138192280073083,candidata,0.0,0.04253956332019006
V21,float64,0.17191661253028814,6,0.11936691980028667,0.15246029622923274,0.15249944560794249,excluida_redundante_con_V17,0.005388563063633223,0.1538465863738508
V22,float64,0.17191661253028814,9,0.13061033211224385,0.14985214159381516,0.15244925767777734,excluida_redundante_con_V17,0.0066787661611655835,0.15411894921806873
V23,float64,0.17191661253028814,14,0.06357401317723302,0.16759281342001625,0.09889476649579854,candidata,0.021001798437228603,0.1728432630293234
V24,float64,0.17191661253028814,14,0.09821097147967733,0.13868151548101362,0.0763278258187448,candidata,0.013091802597927416,0.14195446613049548
V25,float64,0.17191661253028814,7,0.029300365981896986,0.012402716041715518,0.006416761553286057,candidata,0.0,0.012402716041715518
V26,float64,0.17191661253028814,13,0.04314302046579868,0.02243301788570538,0.017734172322513,candidata,0.0,0.02243301788570538
V27,float64,0.17191661253028814,4,0.0008842029003960664,-0.005157174489224433,-0.0051571744892244375,candidata,0.0,0.0051571744892244375
V28,float64,0.17191661253028814,4,0.0009139223279120115,-0.005160590311990971,-0.005205639013221533,candidata,0.0,0.005205639013221533
V29,float64,0.17191661253028814,5,0.2603501000865349,-0.11128836429234736,-0.11387342661933461,candidata,0.0,0.11387342661933461
V30,float64,0.17191661253028814,8,0.305436552202696,-0.10789737735278916,-0.11422775543421176,candidata,0.0,0.11422775543421176
V31,float64,0.17191661253028814,8,0.13680606317481053,0.15163681922518774,0.1515366289985893,excluida_redundante_con_V93,0.006841321375781195,0.15334714956913303
V32,float64,0.17191661253028814,15,0.1518949193944565,0.1480557021824517,0.15164934295640034,excluida_redundante_con_V93,0.006851896057346041,0.15336231697073685
V33,float64,0.17191661253028814,7,0.12176354814143704,0.1738584750856435,0.17103012809206125,candidata,0.0065955636659082995,0.17550736600212058
V34,float64,0.17191661253028814,13,0.1342588074404729,0.17131384512257106,0.17227293513942013,excluida_redundante_con_V52,0.007578358474182201,0.17416752475796568
V35,float64,0.3209019787744345,4,0.26618144639020525,-0.06133670340520714,-0.06346420850889531,candidata,0.0,0.06346420850889531
V36,float64,0.3209019787744345,5,0.29139862969138575,-0.05178787751815196,-0.0589222582653586,candidata,0.0,0.0589222582653586
V37,float64,0.3209019787744345,55,0.5996906407418856,0.15639123891428697,0.14852257429365504,candidata,0.013981104170910585,0.1598865149570146
V38,float64,0.3209019787744345,55,0.8037424452811776,0.18791672262756334,0.16152532143511758,candidata,0.017843232695772482,0.19237753080150646
V39,float64,0.3209019787744345,15,0.2257465795681463,0.17676897191613208,0.1677457868498128,excluida_redundante_con_V40,0.007639920296506286,0.17867895199025866
V40,float64,0.3209019787744345,15,0.270181845959515,0.19186977783613315,0.17069994895513946,candidata,0.00720320084697379,0.1936705780478766
V41,float64,0.3209019787744345,2,0.0005165802820996092,0.004411826550673061,0.004411826550673092,candidata,0.0,0.004411826550673092
V42,float64,0.3209019787744345,9,0.1587834619685649,0.16772947748318162,0.16302427223666202,excluida_redundante_con_V40,0.006379690022510154,0.16932439998880916
V43,float64,0.3209019787744345,9,0.19706117814673726,0.18109112718073533,0.16533745556819793,excluida_redundante_con_V40,0.0068069875440710526,0.1827928740667531
V44,float64,0.3209019787744345,49,0.5031059309631578,0.25515292071176476,0.1848105545931436,candidata,0.01858602908867857,0.2597994279839344
V45,float64,0.3209019787744345,49,0.6099247427695487,0.2859786305838249,0.17705866115549238,candidata,0.019880508007444453,0.290948757585686
V46,float64,0.3209019787744345,7,0.031495671561292855,0.12148408714018287,0.09421481313901638,candidata,0.0119607058441491,0.12447426360122014
V47,float64,0.3209019787744345,8,0.055762969517751754,0.17807004536849574,0.13712788817751795,candidata,0.015050584432485303,0.18183269147661707
V48,float64,0.3209019787744345,5,0.2550973654869698,-0.11277739843154598,-0.11541729518368875,candidata,0.007169314334984911,0.11720962376743498
V49,float64,0.3209019787744345,6,0.29054282291652145,-0.10849088208999652,-0.11498754825614646,candidata,0.0,0.11498754825614646
