variable,retenida,rho_spearman_abs
V274,V232,0.9969592971098445
V275,V233,0.9974001798908851
V273,V231,0.9976474852151123
V213,V179,0.9978985030209165
V212,V178,0.9976870575175756
V211,V177,0.9978482355421932
V43,V40,0.9958202217951082
V39,V40,0.9974504898354869
V153,V154,0.9970468409009965
V18,V17,0.9995887474435476
D5,D7,0.9988220376200896
V277,V236,0.9980806035800939
V58,V79,0.9978220028434895
V15,V79,0.998657211116987
V16,V79,0.9987187429149296
V92,V93,0.9997429730140925
V80,V81,0.9990791633847976
C7,V79,0.9978686786263075
V85,V81,0.996315491659063
V57,V79,0.9964388593140767
V237,V278,0.9983782204238648
V22,V17,0.9968037165387593
V21,V17,0.9969963831938786
V32,V93,0.9960757746464658
V31,V93,0.9960197429820813
V71,V72,0.9983372260825917
V64,V60,0.9971796777764784
V59,V60,0.9963403597314008
V235,V276,0.9985725849749953
V304,V303,0.9966332195127532
V134,V103,0.9992380381644993
V142,V163,0.9997393710618498
V161,V141,0.9997474823069236
V133,V102,0.9988985583871224
V317,V294,0.9981281714933923
V132,V101,0.99941889981831
V183,V216,0.9985826131492832
V318,V295,0.9986912163081948
V182,V215,0.9984985702775818
V181,V214,0.9986170659669183
V126,V95,0.9967869292865528
V293,V316,0.9989897189037678
V279,V306,0.995042175093167
V322,V331,0.9955656590915788
D4,D12,1.0
