variable,retenida,rho
D9_minus_day,day_index,0.9995789605233061
D12_minus_day,D4_minus_day,1.0
V18,V17,0.9991781379180065
V16,V15,0.9999527621196305
V92,V93,0.9997154909476961
C12,C12_log1p,1.0
V80,V81,0.9993448901942261
C7,C7_log1p,1.0
V84,V85,0.9991531329625698
V21,V22,0.999177734335923
V31,V32,0.9997408877522339
C4,C4_log1p,1.0
C8,C8_log1p,1.0
C10,C10_log1p,1.0
V134,V103,0.9992359402801279
V142,V163,0.9997930877458765
V161,V141,0.9998069661489155
V132,V101,0.9993851377035177
C5,C5_log1p,1.0
C2,C2_log1p,1.0
C11,C11_log1p,1.0
V293,V316,0.9990475089948261
C1,C1_log1p,1.0
C9,C9_log1p,1.0
C6,C6_log1p,1.0
C13,C13_log1p,1.0
D4,D12,1.0
C14,C14_log1p,1.0
