variable,asociacion_point_biserial_abs_train
V257,0.2704941034670058
V244,0.26683243710417026
V242,0.26467387152799265
V246,0.25533577291118215
V201,0.23986773892632957
V200,0.23570913188493378
V45,0.23048292366129494
V233,0.2254236206859494
V188,0.22436140304853
V189,0.21893477549046692
V44,0.2158930979348859
V232,0.21497615749351542
V217,0.2129988689822193
V87,0.20723104554386387
V86,0.20718585415975632
V231,0.20579389692875993
V258,0.19869322673546322
V171,0.19696079600424546
V52,0.1945961478188668
V228,0.19388350233138146
V170,0.18592888490017465
V219,0.18526757976675237
V51,0.17805579895889057
V40,0.1706725745353827
V177,0.16739163774081842
V79,0.16652476056585627
V18,0.16335299732821665
V17,0.1624013062684745
V230,0.16227138512448308
id_17,0.16067672530821234
V39,0.15968129132053627
V43,0.15948859786071476
addr2,0.15760732003250108
V199,0.15649549956015393
V38,0.15573833168196421
V74,0.15501100543353644
V94,0.15482852823258503
V33,0.1544647350330645
V93,0.1538072313708886
V34,0.15285676835193246
V81,0.1526642652204332
V42,0.1501984910884825
V15,0.1481940038134454
V58,0.1471480015081811
card3,0.14664863633768133
V80,0.1463671682404468
V47,0.14625419160894543
V16,0.1455716382052153
V85,0.1452287243846319
V92,0.14518711928242228
V73,0.14261199376769418
V243,0.1420942526261642
V21,0.14187439712830877
V22,0.14012973779209953
V123,0.13987660243151864
V50,0.13888520218571038
V190,0.1388500887911619
V37,0.13823403585735744
V23,0.13737737679953904
V57,0.1372587400210751
V84,0.13706622973982951
V72,0.13696337191565103
V303,0.1368283057613677
V304,0.1366774911923415
V31,0.13653906714388023
V111,0.13643762458586597
V32,0.13467425484173345
V247,0.13322552074529698
id_35,0.13302003143217167
V167,0.13271512086017884
DeviceType,0.13222867878518585
V302,0.13107610557424948
id_38,0.1301338206857625
id_31,0.1299903747874397
id_missing_v7,0.12995107313225066
id_15,0.12965448452075146
V113,0.12943722944432012
V78,0.12937370946778687
id_29,0.12853698189294635
V71,0.12849055249006727
V64,0.128428826772457
id_28,0.1282275587000582
R_emaildomain,0.12782219795446068
V252,0.1278166969663574
V239,0.12772242163616143
missing_count_v7,0.12757115102523978
id_37,0.12625026003000467
V63,0.12592929036091444
V60,0.12580429187037917
id_36,0.12416650385144101
V237,0.12401717722721467
id_12,0.1235022065534154
V185,0.12320596412633546
V_missing_v7,0.12275443986895036
ProductCD,0.12269329267890892
V158,0.12258183428130928
V125,0.12246856581114512
V59,0.12229097815824698
V176,0.12023418882613117
V235,0.11999888301883042
V222,0.1199463984749272
V147,0.11993692145713197
id_01,0.1194659246995766
V77,0.1189248769554244
V112,0.11735915871758998
id_16,0.11709398255810591
V184,0.11595783380400802
V108,0.1152858214271023
V24,0.11513176187162735
V156,0.11438345965059904
V46,0.11341210812896961
V149,0.11302930252295985
id_std_v7,0.11296919519966929
V283,0.11190590771222667
V238,0.11053149944540423
V186,0.10750887497515635
V179,0.10567716153893505
V262,0.10553404084786
V218,0.10437527075119508
M4,0.10331770581670159
V29,0.10330622827057587
V90,0.1030934013931725
V69,0.10288597529366397
id_mean_v7,0.10274646402824326
V282,0.10260330923317841
V114,0.102543071107875
card6,0.10048335086164291
V30,0.10034959221748638
V70,0.09993973636634898
V91,0.09971427882905218
V181,0.09953679385537889
V157,0.09925977795137869
addr1,0.09903541260185189
DeviceInfo,0.0980519179917435
V197,0.0979651471420267
prior_frequency_addr1_v7,0.09523903606026071
V110,0.09479915767325844
V236,0.09423910216519321
V146,0.09400629698310241
V155,0.0932906998211661
V221,0.0923834666296411
V259,0.0923511088187838
V229,0.0922832878950058
D_missing_v7,0.09172002064115939
V140,0.09160639028191599
V48,0.09122549879820566
V148,0.0903949266764475
V101,0.0900864648879634
V49,0.08833240772213877
V95,0.08741811260019688
V198,0.08692486721027734
V124,0.08493577988841836
V116,0.08378037393552358
V67,0.0818207587095089
V62,0.07995218943560682
D_mean_v7,0.0786238253180633
V261,0.07721418655751812
M1,0.07709902770543098
V10,0.07630257962709072
V260,0.07618495053851071
V11,0.07472911882429208
id_02,0.07421841827822302
V249,0.07415372429276748
V83,0.07362871398113857
V183,0.07331168469600699
id_13,0.07270964484448843
V154,0.07246302326551868
V281,0.07170417031794064
V195,0.07135714387448115
V308,0.07132059704261533
V109,0.07078738138239371
D15,0.07024376198440642
V178,0.06991900510220769
V194,0.06952665753342732
V279,0.06879812558922808
D10,0.06759609949588588
D9,0.06651666796598549
prior_frequency_ProductCD_v7,0.06612235054477157
V103,0.06519308233105077
V263,0.06455201813620581
id_06,0.06391811171658551
V139,0.06364451610172887
