variable_1,variable_2,rho_spearman_abs_train,conservada,eliminada
V233,V275,0.9998284135439944,V233,V275
V217,V263,0.9994712177914332,V217,V263
V231,V273,0.9998376807734383,V231,V273
V219,V265,0.9993748228153687,V219,V265
V40,V39,0.998259089978288,V40,V39
V177,V211,0.9998345449514268,V177,V211
V18,V17,0.9996331420413189,V18,V17
V18,V21,0.9950650685990978,V18,V21
V18,V22,0.9954233134397159,V18,V22
V43,V42,0.9981439582148401,V43,V42
V93,V92,0.99988593746195,V93,V92
V81,V80,0.9996043842311036,V81,V80
V15,V16,0.9997969918289773,V15,V16
V58,V57,0.9979191300595206,V58,V57
V85,V84,0.9992403596520091,V85,V84
V72,V71,0.9980168900567008,V72,V71
V303,V304,0.997222650132492,V303,V304
V31,V32,0.9997931515779409,V31,V32
V167,V202,0.9994707477018437,V167,V202
id_15,id_29,0.9959499350673162,id_15,id_29
id_15,id_28,0.9964608206759202,id_15,id_28
V64,V63,0.9965732123768043,V64,V63
V64,V60,0.9964720167920454,V64,V60
V237,V278,0.9999022036353346,V237,V278
V235,V276,0.9999151572658673,V235,V276
V149,V148,0.9950086666362483,V149,V148
V181,V214,0.9999103153434722,V181,V214
V48,V49,0.9962137727600451,V48,V49
V10,V11,0.9974291309625936,V10,V11
V183,V216,0.9998984475874197,V183,V216
V154,V153,0.997795160593825,V154,V153
V279,V306,0.9950554641793065,V279,V306
V103,V134,0.9993859782008625,V103,V134
V293,V316,0.9990227559832993,V293,V316
